Group G-1:,,,,
==================================================,,,,
,,,,
Team 1,,,,
--------------------------------------------------,,,,
1. 5002, Aarav Singh, CCDS, Male,4.02
4. 1890, Ravi Kumar, CoB (NBS), Male,4.09
5. 3465, Rohan Nair, SPMS, Male,3.94
,,,,
Team 88,,,,
--------------------------------------------------,,,,
1. 2976, Lucas Ramirez, EEE, Male,4.06
2. 1052, Riley Parker, CoB (NBS), Male,4.08
3. 4014, Nisha Patel, SSS, Female,4.14
4. 5028, Peizhen, MAE, Female,4.05
5. 605, Soo-Jung Kim, CCEB, Female,4.14
,,,,
Team 89,,,,
--------------------------------------------------,,,,
1. 536, Nicolas Xu, EEE, Male,4.08
2. 4012, Umar Faisal, NIE, Male,4.05
3. 1441, Quiana Villanueva, CoB (NBS), Female,3.88
4. 5140, Tania Noor, CCEB, Female,4.18
5. 4428, Tanvi Sinha, WKW SCI, Female,4.18
,,,,
Team 90,,,,
--------------------------------------------------,,,,
1. 2350, Violet Wang, CCDS, Female,4
2. 5939, Sharon Goh, CoB (NBS), Female,3.9
3. 1451, Kieran Kim, EEE, Male,4.48
4. 5312, Ying Wang, SoH, Female,4
5. 2991, Yuri Li, CEE, Male,4.03
,,,,
Group G-10:,,,,
==================================================,,,,
,,,,
Team 91,,,,
--------------------------------------------------,,,,
1. 3329, Adrian Castillo, MAE, Male,4.07
2. 3841, Benjamin Turner, SBS, Male,4.06
3. 2581, Alyssa Green, ASE, Female,3.94
4. 560, Ayesha Javed, SoH, Female,4.09
5. 5624, Cheng Zhang, EEE, Male,4.11
,,,,
Team 92,,,,
--------------------------------------------------,,,,
1. 594, Ananya Singh, MAE, Female,4.2
2. 375, Kaya Chang, SBS, Female,4.05
3. 3794, Christopher Miller, CoB (NBS), Male,4.17
4. 2253, Dante Wu, EEE, Male,4.18
5. 403, Hae-Jin Lee, SoH, Female,4.52
,,,,
Team 93,,,,
--------------------------------------------------,,,,
1. 298, Freya Chen, MAE, Female,4.09
2. 5122, Kerry Lim, CCEB, Female,4.01
3. 611, Hendra Mulyana, SPMS, Male,4.1
4. 3051, Hunter Wilson, LKCMedicine, Male,4.06
5. 565, Isaiah Scott, SoH, Male,4.15
,,,,
Team 94,,,,
--------------------------------------------------,,,,
1. 5734, Hassan Malik, MAE, Male,4.03
2. 2031, Kendrick Alvarado, CCDS, Male,4.18
3. 435, Kiran Farooq, WKW SCI, Female,4.15
4. 4020, Leo Xu, CoB (NBS), Male,4.12
5. 3843, Mia Zhang, EEE, Female,4.18
,,,,
Team 95,,,,
--------------------------------------------------,,,,
1. 223, Jaxon Hall, MAE, Male,4.12
2. 3732, Liam Jones, CCDS, Male,4.2
3. 3111, Marco Garcia, CEE, Male,4.04
4. 171, Nina Bennett, CCEB, Female,4.08
5. 5420, Nina Patil, NIE, Female,4.1
,,,,
Team 96,,,,
--------------------------------------------------,,,,
1. 2631, Kiara Lin, CCDS, Female,4.06
2. 1139, Nurul Aini Binti Ahmad, SPMS, Female,4.2
3. 3395, Michael Miller, CoB (NBS), Male,3.95
4. 1468, Ming Wei, MAE, Male,4.19
5. 3189, Rhea Lee, CCEB, Female,4.07
,,,,
Team 97,,,,
--------------------------------------------------,,,,
1. 3499, Kira Yamada, CCDS, Female,4.26
2. 4588, Paula Wong, CoB (NBS), Female,4.06
3. 3364, Rhea Kapoor, MAE, Female,4
4. 5695, Rhys Tan, WKW SCI, Male,4.06
5. 516, Tao Liu, ADM, Male,4.05
,,,,
Team 98,,,,
--------------------------------------------------,,,,
1. 4108, Rizan Bin Ahmad, MAE, Male,4.11
2. 2255, Xander Cook, CoE, Male,4.1
3. 2405, Soo-Young Kim, ASE, Female,3.88
4. 16, Tatum Flores, EEE, Female,4.2
5. 2857, Tianming, SoH, Female,4.2
,,,,
Team 99,,,,
--------------------------------------------------,,,,
1. 5856, Sophie Cheung, MAE, Female,4.2
2. 2515, Tanya Lee, CoE, Female,4.04
3. 5121, Ximena Fernandez, MSE, Female,4.12
4. 4077, Yasir Ahmad, SoH, Male,4.52
5. 4477, Yuzhi, SPMS, Male,4.25
,,,,
Team 100,,,,
--------------------------------------------------,,,,
1. 2863, Will Chen, MAE, Male,4.23
2. 3903, Xiao Chen, CoE, Male,3.86
3. 3963, Yasmine Villanueva, SSS, Female,4.02
4. 3388, Zaki Bin Ibrahim, EEE, Male,4
5. 4308, Sho Nakajima, MAE, Male,4.27
,,,,
Group G-11:,,,,
==================================================,,,,
,,,,
Team 101,,,,
--------------------------------------------------,,,,
1. 5396, Alison Wong, CCDS, Female,4
2. 5697, Aisha Fitria, MSE, Female,4.3
3. 5714, Alondra Santos, CoB (NBS), Female,4.08
4. 5386, Arun Singh, EEE, Male,4.06
5. 3651, Chengwei, SPMS, Male,4.2
,,,,
Team 102,,,,
--------------------------------------------------,,,,
1. 5491, Caleb Murphy, CCDS, Male,4.05
2. 972, Dylan Anderson, EEE, Male,4.25
3. 4450, Charlotte Martin, CoB (NBS), Female,4.01
4. 635, Charlotte Thomas, MAE, Female,3.9
5. 1996, Daya Kumari, SSS, Female,3.9
,,,,
Team 103,,,,
--------------------------------------------------,,,,
1. 5844, Chloe Hu, CoB (NBS), Female,4.03
2. 5747, Cleo Wang, MAE, Female,4.17
3. 1288, Elena Vladimirovna, CEE, Female,3.87
4. 639, Erqi, CCDS, Male,4
5. 1017, Ethan Lee, NIE, Male,4.02
,,,,
Team 104,,,,
--------------------------------------------------,,,,
1. 4128, Ella Johnson, CoE, Female,4.12
2. 4266, Dewi Astuti, MAE, Female,3.9
3. 342, Ethan Ong, CCEB, Male,4.08
4. 1156, Hugo Huang, SBS, Male,4.17
5. 4216, Jacob Howard, EEE, Male,4.03
,,,,
Team 105,,,,
--------------------------------------------------,,,,
1. 1852, Jin Lee, SPMS, Male,4.15
2. 4595, Jovian Tan, EEE, Male,4.22
3. 2918, Julian Tan, CoB (NBS), Male,4.03
4. 5936, Lian Liu, MAE, Female,4
5. 4712, Neha Kapoor, CoE, Female,4.2
,,,,
Team 106,,,,
--------------------------------------------------,,,,
1. 624, Kelly Lim, EEE, Female,3.96
2. 1377, Nguyen Hoang Khoa, ADM, Female,4.14
3. 1759, Kunal Tan, CoB (NBS), Male,3.8
4. 4041, Nina Butler, SBS, Female,3.91
5. 5408, Peiyu, CEE, Male,4.3
,,,,
Team 107,,,,
--------------------------------------------------,,,,
1. 2300, Liang Mei, EEE, Female,4.12
2. 268, Nora Zhang, ADM, Female,4.16
3. 3687, Noah Wilson, CoB (NBS), Male,4.05
4. 4974, Peilin, CEE, Female,4.05
5. 3869, Sebastian Mitchell, CCDS, Male,4.04
,,,,
Team 108,,,,
--------------------------------------------------,,,,
1. 4866, Richa Agarwal, CoB (NBS), Female,3.97
2. 5628, Riya Khan, CCEB, Female,4.04
3. 3381, Sana Ali, EEE, Female,4.15
4. 1183, Tian Yi, WKW SCI, Male,4
5. 4299, Seth Lim, CoB (NBS), Male,4.22
,,,,
Team 109,,,,
--------------------------------------------------,,,,
1. 796, Tanvi Agarwal, SSS, Female,4.2
2. 5846, Tara Kumar, EEE, Female,4.01
3. 5889, Tyler Moore, WKW SCI, Male,4.02
4. 312, William Lim, CoB (NBS), Male,4.01
5. 5452, Zainab Rahman, CCDS, Female,4.15
,,,,
Team 110,,,,
--------------------------------------------------,,,,
1. 1505, Wesley Turner, EEE, Male,4.09
2. 5744, Tania Kurnia, SSS, Female,4.3
3. 4587, Ying Zhao, CoB (NBS), Female,3.91
4. 1955, William Carter, EEE, Male,4.1
5. 3974, Zhao Rui, EEE, Male,4.17
,,,,
Group G-12:,,,,
==================================================,,,,
,,,,
Team 111,,,,
--------------------------------------------------,,,,
1. 5034, Aarav Sinha, CoE, Male,4.1
2. 3101, Aarav Tan, SoH, Male,4.05
3. 4781, Adrian Wong, MAE, Male,4.07
4. 3581, Anaya Mehta, CoB (NBS), Female,4.02
5. 5712, Ashlyn Wang, CCEB, Female,4.06
,,,,
Team 112,,,,
--------------------------------------------------,,,,
1. 4210, Ayaan Tan, SPMS, Male,4.01
2. 3634, Budi Santoso, MAE, Male,4.14
3. 2846, Chloe Lee, SoH, Female,4.02
4. 311, Diya Yadav, SBS, Female,4.27
5. 2203, Farhan Bin Azhar, NIE, Male,3.87
,,,,
Team 113,,,,
--------------------------------------------------,,,,
1. 931, Fabian Navarro, SoH, Male,4
2. 4118, Huang Wei, EEE, Male,4.19
3. 4042, Fatima Zainal, SSS, Female,3.88
4. 5022, Hannah Robinson, CCEB, Female,4.21
5. 4348, Harper Martinez, CoB (NBS), Female,4.52
,,,,
Team 114,,,,
--------------------------------------------------,,,,
1. 4951, Freya Li, EEE, Female,4.01
2. 2792, Jin-Ah Park, CEE, Female,4.2
3. 1608, Ian Alonzo, SBS, Male,4.06
4. 4788, Jayden Smith, ASE, Male,4.03
5. 3547, Jin-Woo Seo, SPMS, Male,4.2
,,,,
Team 115,,,,
--------------------------------------------------,,,,
1. 4825, Isabella Zhao, EEE, Female,4.14
2. 4839, Kai Zhang, CoE, Female,4.11
3. 1109, Jovian Tan, MAE, Male,3.9
4. 5656, Kendall Cooper, SBS, Female,4.25
5. 1465, Liam Yip, CEE, Male,4.08
,,,,
Team 116,,,,
--------------------------------------------------,,,,
1. 3021, Keegan Li, CoE, Male,4.19
2. 3591, Kenshin Hayashi, EEE, Male,4.22
3. 1371, Liam Torres, MAE, Male,4.12
4. 2343, Lily Nguyen, CoB (NBS), Female,4.25
5. 4388, Meera Reddy, SSS, Female,4.07
,,,,
Team 117,,,,
--------------------------------------------------,,,,
1. 145, Malachi Liu, CCDS, Male,4.04
2. 3354, Rakesh Nair, CEE, Male,4.11
3. 897, Miriam Alvarado, SoH, Female,4.19
4. 4355, Penny Lim, SBS, Female,4
5. 4426, Sadiya Iqbal, CoB (NBS), Female,4.05
,,,,
Team 118,,,,
--------------------------------------------------,,,,
1. 2988, Nash Tan, CCDS, Male,4.21
2. 3453, Siddharth Patel, SoH, Male,4
3. 2129, Scarlett Gonzalez, MAE, Female,4.27
4. 3055, Sienna Zhang, SSS, Female,4.27
5. 742, Skye Huang, SBS, Female,4.19
,,,,
Team 119,,,,
--------------------------------------------------,,,,
1. 5988, Ranya Lim, SoH, Female,4
2. 3475, Sofia Ali, SBS, Female,4.2
3. 2781, Nitesh Singh, CCDS, Male,4.52
4. 4742, Sofia Nelson, NIE, Female,4.12
5. 4629, Stephen Evans, SPMS, Male,3.95
,,,,
Team 120,,,,
--------------------------------------------------,,,,
1. 1380, Tilly Ramos, SSS, Female,4.05
2. 2791, Vesper Salazar, CCDS, Female,4.1
3. 406, Yuri Mikhailov, EEE, Male,4.19
4. 3066, Yui Yamamoto, CCDS, Female,4.25
5. 216, Zhonghua, CCDS, Male,3.9
,,,,
Group G-13:,,,,
==================================================,,,,
,,,,
Team 121,,,,
--------------------------------------------------,,,,
1. 3502, Aiko Watanabe, CoB (NBS), Female,4.01
2. 1855, Diya Mukherjee, SoH, Female,4.14
3. 4054, Anthony Morgan, CEE, Male,4.17
4. 1239, Arnav Yadav, MAE, Male,4.01
5. 5986, Colton Roberts, WKW SCI, Male,4.2
,,,,
Team 122,,,,
--------------------------------------------------,,,,
1. 1078, Alyssa Garcia, CoB (NBS), Female,4
2. 3074, Emily Chua, CCEB, Female,4.3
3. 5189, Denny Saputra, SBS, Male,3.9
4. 1524, Dustin Zhao, CEE, Male,4.08
5. 1171, Eli Chen, SSS, Male,4.14
,,,,
Team 123,,,,
--------------------------------------------------,,,,
1. 2583, Boris Volkov, CoB (NBS), Male,4.12
2. 5394, Harish Rao, SoH, Male,4.21
3. 2853, Evelyn Robinson, SPMS, Female,3.94
4. 4319, Fang Hong, ASE, Female,4.11
5. 2845, Hendrik Surya, CEE, Male,4
,,,,
Team 124,,,,
--------------------------------------------------,,,,
1. 2243, Huiqin, SoH, Female,4.15
2. 4909, Kaori Nakajima, SBS, Female,4.18
3. 1616, Hussain Bin Mohd, CoE, Male,3.92
4. 1422, Jackie Robinson, CEE, Male,4.11
5. 619, Kieran Kim, NIE, Male,3.9
,,,,
Team 125,,,,
--------------------------------------------------,,,,
1. 5998, Leila Shah, EEE, Female,3.94
2. 5722, Lila Reed, CEE, Female,4.14
3. 484, Jia Li, SoH, Male,3.86
4. 4256, Ling Zhang, CCDS, Female,4.08
5. 1501, Paul Kim, NIE, Male,4.04
,,,,
Team 126,,,,
--------------------------------------------------,,,,
1. 5952, Lola Wong, SoH, Female,4.11
2. 537, Kiran Patel, EEE, Female,3.87
3. 4676, Lucas Peterson, CCDS, Male,4.15
4. 3467, Meena Iyer, CoB (NBS), Female,4.19
5. 378, Ryan Edwards, SSS, Male,4.06
,,,,
Team 127,,,,
--------------------------------------------------,,,,
1. 4211, Lydia Patterson, EEE, Female,3.94
2. 4534, Meiling, SBS, Female,4.25
3. 1527, Nina Tan, NIE, Female,4.05
4. 2452, Vivek Sethi, CCDS, Male,4.11
5. 4840, Wenkai, SPMS, Male,4
,,,,
Team 128,,,,
--------------------------------------------------,,,,
1. 5517, Olivia Allen, SSS, Female,4.12
2. 1840, Nora Bell, CCDS, Female,4.26
3. 5847, Qori Amalia, CEE, Female,4.15
4. 2704, Rahul Joshi, EEE, Male,3.88
5. 2142, Wyatt Ward, CoB (NBS), Male,4.17
,,,,
Team 129,,,,
--------------------------------------------------,,,,
1. 3689, Ruiwen, CCDS, Female,3.95
2. 3476, Su Ling, SSS, Female,4
3. 5161, Shun Takahashi, EEE, Male,4.12
4. 5398, Svetlana Egorova, MAE, Female,3.87
5. 4076, Wahyu Prabowo, EEE, Male,3.95
,,,,
Team 130,,,,
--------------------------------------------------,,,,
1. 3935, Tasneem Javed, SSS, Female,4.2
2. 2068, Yara Ross, EEE, Female,4.06
3. 2260, Yun Li, CCEB, Female,3.97
4. 4911, Zara Ho, SoH, Female,4.05
5. 1047, Zara Wang, CCDS, Female,4.04
,,,,
Group G-14:,,,,
==================================================,,,,
,,,,
Team 131,,,,
--------------------------------------------------,,,,
1. 3301, Anita Clarke, MSE, Female,4.1
2. 5338, Aiko Kimura, CCEB, Female,4.25
3. 3127, Ashraff Bin Mohd, CCDS, Male,4.05
4. 1788, Brendan James, NIE, Male,4.2
5. 2880, Carmen Lee, SSS, Female,3.96
,,,,
Team 132,,,,
--------------------------------------------------,,,,
1. 2014, Chloe Ng, SSS, Female,4.21
2. 290, Diana Kwan, MAE, Female,4.09
3. 2563, Dylan Adams, ASE, Male,3.87
4. 1747, Chandra Widyanto, ADM, Male,4.52
5. 5711, Eko Prasetyo, SPMS, Male,3.8
,,,,
Team 133,,,,
--------------------------------------------------,,,,
1. 4775, Emily Harris, CoB (NBS), Female,4.15
2. 1425, Fatimah Rahman, SSS, Female,4.14
3. 1698, Hana Yamamoto, CCEB, Female,4.14
4. 2714, Henry King, SPMS, Male,4.04
5. 1416, Henry Morales, NIE, Male,4.02
,,,,
Team 134,,,,
--------------------------------------------------,,,,
1. 1407, Freddie Wong, CoB (NBS), Male,4.08
2. 259, Hao Xiang Tan, CCEB, Male,4.05
3. 666, Hugo Huang, CEE, Male,4.02
4. 664, Hui Yao Tan, SSS, Female,4.1
5. 839, Jing Yi, NIE, Female,3.89
,,,,
Team 135,,,,
--------------------------------------------------,,,,
1. 4329, Jenna Wong, CCEB, Female,4.12
2. 2319, Linda Wong, SSS, Female,4.11
3. 128, Kai Wong, LKCMedicine, Male,3.96
4. 5152, Liang Hong, CEE, Male,4.05
5. 5443, Madiha Qureshi, CCDS, Female,4.1
,,,,
Team 136,,,,
--------------------------------------------------,,,,
1. 3424, Min-Jae Park, EEE, Male,4.14
2. 2710, Riley Kim, ASE, Male,4.2
3. 3423, Quinn Dela Cruz, CoB (NBS), Female,4.01
4. 2, Rabia Noor, CCEB, Female,4.02
5. 5004, Riya Yadav, ADM, Female,4.03
,,,,
Team 137,,,,
--------------------------------------------------,,,,
1. 5683, Samuel Morgan, EEE, Male,4.15
2. 5118, Rizal Ramadhan, CoE, Male,3.92
3. 806, Samuel Torres, SPMS, Male,3.9
4. 1117, Sanjana Mehta, ASE, Female,4.08
5. 5400, Shamita Rani, SBS, Female,4.04
,,,,
Team 138,,,,
--------------------------------------------------,,,,
1. 677, Stella Green, SBS, Female,4.11
2. 3609, Sharifah Ali, CoB (NBS), Female,3.8
3. 3334, Siti Aisyah, SSS, Female,3.9
4. 2590, Steve Lau, SPMS, Male,4.01
5. 110, Winston Yang, MAE, Male,4.12
,,,,
Team 139,,,,
--------------------------------------------------,,,,
1. 2074, Talia Chang, NIE, Female,4.18
2. 5071, Sophie Liao, CEE, Female,4.25
3. 1491, Shahid Malik, CoB (NBS), Male,3.9
4. 2070, Veera Kumar, CCDS, Female,4.02
5. 1165, Xander Wong, EEE, Male,4.1
,,,,
Team 140,,,,
--------------------------------------------------,,,,
1. 3722, Xyla Cruz, CCDS, Female,4.14
2. 3114, Yvonne Ko, EEE, Female,4.14
3. 5173, Tian Wang, CoB (NBS), Male,4.3
4. 1324, Yusuf Bin Sulaiman, CoE, Male,4.22
5. 1464, Zhou Min, CoE, Male,4.15
,,,,
Group G-15:,,,,
==================================================,,,,
,,,,
Team 141,,,,
--------------------------------------------------,,,,
1. 4262, Aaron Taylor, CEE, Male,4.15
2. 2815, Aditi Bhat, CoB (NBS), Male,4.11
3. 1897, Andrew Clark, EEE, Male,4.08
4. 2367, Deepika Singh, SoH, Female,4.14
5. 3089, Felicity Morgan, CCDS, Female,4.01
,,,,
Team 142,,,,
--------------------------------------------------,,,,
1. 577, Beckett Lee, MSE, Male,4.05
2. 2910, Azhar Khan, CCDS, Male,3.87
3. 4920, Brendan James, CoB (NBS), Male,4.15
4. 3968, Hani Susanti, MAE, Female,4.15
5. 3380, Isabella Wilson, CCEB, Female,4.03
,,,,
Team 143,,,,
--------------------------------------------------,,,,
1. 4090, Caleb Hughes, ASE, Male,4.13
2. 219, Dominic Yang, MAE, Male,4
3. 894, Derek Tan, NIE, Male,4.3
4. 3072, Isha Tan, LKCMedicine, Female,4.03
5. 5501, Lily Ng, SSS, Female,3.93
,,,,
Team 144,,,,
--------------------------------------------------,,,,
1. 3369, Haroon Qureshi, CEE, Male,4.19
2. 450, Hassan Bin Yusof, MAE, Male,4.01
3. 5181, Isaac Tan, CCDS, Male,3.92
4. 5276, Meenakshi Iyer, MSE, Female,4.06
5. 4265, Mira Sulaiman, CCEB, Female,3.91
,,,,
Team 145,,,,
--------------------------------------------------,,,,
1. 1181, Jayden Lee, EEE, Male,4.08
2. 1806, Leo Cooper, CCDS, Male,4.17
3. 5948, Neelam Patel, MSE, Female,4.03
4. 1350, Nguyen Thi Thuy, SSS, Female,4.13
5. 1034, Samantha Wu, CoB (NBS), Female,4.01
,,,,
Team 146,,,,
--------------------------------------------------,,,,
1. 54, Levi Price, CCDS, Male,4.02
2. 1411, Rory Hughes, EEE, Male,4.09
3. 3621, Saki Watanabe, SSS, Female,4.15
4. 5728, Sania Noor, CoB (NBS), Female,3.88
5. 5141, Soniya Malik, SPMS, Female,4.03
,,,,
Team 147,,,,
--------------------------------------------------,,,,
1. 1506, Noor Rani, EEE, Female,3.91
2. 1102, Shanaz Iqbal, CCDS, Female,4.12
3. 968, Seng Wei Lim, CoB (NBS), Male,4
4. 3352, Tyler Johnson, CEE, Male,4.2
5. 898, Victoria Wang, ASE, Female,4.14
,,,,
Team 148,,,,
--------------------------------------------------,,,,
1. 4835, Shaima Binti Rahman, EEE, Female,4
2. 4561, Zahra Khan, CCDS, Female,3.95
3. 299, Siddharth Iyer, CoB (NBS), Male,4.22
4. 1315, Warner Ng, CEE, Male,4.1
5. 642, Wu Bin, MAE, Male,4.06
,,,,
Team 149,,,,
--------------------------------------------------,,,,
1. 317, Soren Wu, CCDS, Male,4.02
2. 4856, Sung-Min Yoo, EEE, Male,4.13
3. 1569, Xiangqi, SSS, Male,4.01
4. 2045, Zoe Lim, CCEB, Female,3.89
5. 4868, Zoe Lin, SoH, Female,4
,,,,
Team 150,,,,
--------------------------------------------------,,,,
1. 1626, Yun Zhang, CoB (NBS), Male,4.09
2. 1151, Truong Van Hoang, CCDS, Male,4.21
3. 4908, Zachary Garcia, MAE, Male,3.91
4. 2524, Zhao Li, SPMS, Male,4.2
5. 4782, Zachary Walker, CCDS, Male,4.01
,,,,
Group G-16:,,,,
==================================================,,,,
,,,,
Team 151,,,,
--------------------------------------------------,,,,
1. 3975, Albert Yip, EEE, Male,4.05
2. 3361, Chen Wang, CoB (NBS), Male,4.02
3. 1175, Aishwarya Nair, CCEB, Female,3.9
4. 5922, Ami Mori, SBS, Female,4.03
5. 3018, Derek Hill, MAE, Male,4.09
,,,,
Team 152,,,,
--------------------------------------------------,,,,
1. 5508, Anita Patel, SBS, Female,4.2
2. 5429, Chloe Green, CCEB, Female,4.14
3. 3995, Caleb Yang, EEE, Male,3.89
4. 5380, Derek Bautista, CoB (NBS), Male,4.14
5. 3868, Eva Cooper, SSS, Female,4.05
,,,,
Team 153,,,,
--------------------------------------------------,,,,
1. 5365, Durga Sharma, EEE, Female,4.14
2. 189, Geeta Reddy, MAE, Female,4.1
3. 4806, Dylan Lewis, CoB (NBS), Male,4.15
4. 5183, Hiroshi Yamashita, LKCMedicine, Male,3.94
5. 4871, Ivan Wong, WKW SCI, Male,4.08
,,,,
Team 154,,,,
--------------------------------------------------,,,,
1. 2569, Henry Cheung, MAE, Male,4.11
2. 1300, Jeremiah Santos, SoH, Male,4
3. 302, Kathy Yip, CCDS, Female,4.19
4. 4148, Liam Hughes, CEE, Male,4.15
5. 1949, Lihua, EEE, Female,4.2
,,,,
Team 155,,,,
--------------------------------------------------,,,,
1. 4058, Jane Lee, SoH, Female,4.17
2. 100, Lydia Chen, CCEB, Female,4
3. 1111, Khalid Malik, CCDS, Male,4.04
4. 673, Liam Reddy, CoB (NBS), Male,4.22
5. 4195, Lydia Yip, EEE, Female,4.48
,,,,
Team 156,,,,
--------------------------------------------------,,,,
1. 4365, Mabel Turner, SBS, Female,4.12
2. 2030, Maya Alexander, ASE, Female,4.1
3. 3703, Maya Tan, SSS, Female,4.12
4. 4469, Nitin Kumar, SoH, Male,3.85
5. 5520, Shuqi, ADM, Male,4.2
,,,,
Team 157,,,,
--------------------------------------------------,,,,
1. 522, Mia Clark, SSS, Female,4.03
2. 4212, Nazia Nadeem, CCEB, Female,4
3. 1560, Noor Jahan, CoB (NBS), Female,3.95
4. 4750, Tristan Lim, ASE, Male,4.1
5. 2050, Tyson Scott, SPMS, Male,4.06
,,,,
Team 158,,,,
--------------------------------------------------,,,,
1. 3264, Naina Mehta, SSS, Female,4.02
2. 1480, Ritika Singh, CoB (NBS), Female,4.01
3. 3090, Samara Chang, WKW SCI, Female,4.2
4. 4673, Usman Iqbal, SBS, Male,4.02
5. 5691, Wei Jie, CCDS, Male,4.06
,,,,
Team 159,,,,
--------------------------------------------------,,,,
1. 533, Sanjana Gupta, EEE, Female,4.14
2. 80, Shu Fang, CCEB, Female,4.1
3. 3791, Soo-Min Park, SBS, Female,4.03
4. 471, Wesley Villanueva, CoB (NBS), Male,3.89
5. 2087, William Li, MAE, Male,4.2
,,,,
Team 160,,,,
--------------------------------------------------,,,,
1. 5902, Sylvia Tan, CEE, Female,4.1
